date,help,dead,no motivation,loneliness,lonely,isolated,stress,angst,emotion,social anxiety,mood swings,tired,trapped,paranoia,overwhelmed,irritable
2020-08-16,69,47,0,49,49,56,71,66,23,18,20,72,37,88,42,66
2020-08-23,75,53,81,61,61,23,85,17,39,19,20,65,56,0,0,33
2020-08-30,67,47,40,24,35,22,75,16,100,55,40,75,74,0,28,49
2020-09-06,86,44,0,37,39,34,73,50,54,55,40,62,56,66,28,33
2020-09-13,77,59,0,62,54,23,61,17,39,19,0,68,28,45,57,33
2020-09-20,61,49,0,37,61,0,74,17,39,37,21,74,57,67,57,34
2020-09-27,76,38,0,52,34,48,89,18,33,40,22,43,10,0,15,71
2020-10-04,82,40,0,40,54,24,80,36,76,20,22,73,0,24,61,36
2020-10-11,63,54,46,42,78,26,69,38,9,21,23,84,43,0,48,19
2020-10-18,64,42,0,55,68,13,85,37,26,21,0,82,32,50,32,0
2020-10-25,66,50,0,55,92,25,80,19,43,62,23,39,42,50,16,0
2020-11-01,57,37,0,0,59,23,70,51,40,57,21,44,48,23,29,34
2020-11-08,72,43,45,41,75,37,100,0,69,41,22,63,10,0,31,37
2020-11-15,73,44,0,41,60,0,63,56,69,41,0,60,42,25,63,19
2020-11-22,62,52,0,27,20,25,59,0,9,0,23,45,31,0,63,37
2020-11-29,64,47,0,55,40,0,74,19,52,41,0,54,10,25,16,0
2020-12-06,57,43,46,0,36,0,79,37,44,21,46,55,32,50,32,37
2020-12-13,61,44,0,14,64,64,68,19,18,21,0,73,64,0,48,0
2020-12-20,54,42,0,15,59,67,63,0,9,0,48,67,100,0,0,20
2020-12-27,63,57,0,28,54,39,44,0,36,0,24,53,65,0,33,0
2021-01-03,72,48,0,56,57,13,54,19,18,64,0,34,32,25,32,57
2021-01-10,73,48,0,28,81,13,45,76,9,0,23,37,21,0,48,19
2021-01-17,70,42,0,14,40,13,56,94,53,42,23,55,11,0,48,19
2021-01-24,69,39,0,14,45,0,69,0,36,42,0,59,54,76,48,38
2021-01-31,67,39,0,28,75,53,57,39,36,65,71,47,44,0,16,58
2021-02-07,63,59,50,61,27,14,63,62,39,0,51,57,70,0,17,21
2021-02-14,67,54,0,71,58,53,72,58,72,22,24,35,33,26,65,39
2021-02-21,73,51,47,100,58,53,73,58,36,43,71,44,44,26,98,19
2021-02-28,69,54,0,57,62,40,66,0,36,43,47,35,55,26,65,39
2021-03-07,75,51,47,57,25,53,80,59,73,65,71,66,33,0,99,19
2021-03-14,63,49,0,26,34,61,81,36,42,20,22,58,60,24,45,36
2021-03-21,80,48,0,14,58,0,78,0,54,0,94,78,43,0,65,58
2021-03-28,68,47,94,14,37,53,86,78,63,65,0,76,76,52,49,58
2021-04-04,73,59,92,28,61,0,58,38,62,42,23,61,64,50,32,19
2021-04-11,73,55,0,28,56,51,74,19,35,42,0,43,42,25,16,19
2021-04-18,64,44,0,28,28,13,72,0,52,83,46,73,11,25,32,75
2021-04-25,80,42,0,28,36,13,77,0,53,21,23,67,21,0,80,57
2021-05-02,72,58,0,0,40,25,67,19,61,41,23,48,42,0,78,0
2021-05-09,57,46,0,14,33,13,67,38,44,85,47,43,32,0,32,19
2021-05-16,85,79,44,13,85,49,78,36,50,60,22,44,71,0,0,18
2021-05-23,91,97,87,26,27,24,67,54,25,100,66,61,30,24,30,18
2021-05-30,59,56,44,27,39,37,62,18,17,61,22,74,31,24,15,73
2021-06-06,66,65,45,27,44,51,65,37,52,21,45,69,42,0,31,19
2021-06-13,73,51,0,14,28,12,73,18,34,61,22,54,31,49,78,18
2021-06-20,76,55,0,14,48,0,72,0,26,62,45,69,42,49,31,0
2021-06-27,79,53,46,28,48,0,72,0,35,63,69,94,74,50,0,0
2021-07-04,95,63,0,33,29,0,76,0,63,0,0,87,76,0,38,45
