date,mental illness,mental health,self-harm,suicide,death,therapy,counsellor,counselling,trauma,phobia,addiction,stigma,abuse,disorder,dependence,socialize,psychologist ,well-being,self-esteem,toxic,drugs,depression hotline,mental health hotline,hotline,emotional support 
2019-05-26,56,18,0,36,24,70,47,86,21,12,33,20,35,42,25,0,36,0,0,35,47,0,0,65,0
2019-06-02,10,22,0,32,26,52,37,9,11,37,50,41,48,61,26,0,30,0,35,51,63,0,0,60,45
2019-06-09,19,24,0,40,22,53,0,70,16,37,49,20,36,51,26,0,73,0,0,39,40,0,0,58,0
2019-06-16,68,43,0,19,24,75,37,36,11,25,55,42,15,38,0,0,38,0,0,37,33,0,0,67,22
2019-06-23,9,18,0,57,26,56,12,84,33,74,63,20,14,54,26,0,44,0,0,32,32,0,0,58,0
2019-06-30,19,36,0,54,23,55,47,34,11,24,48,20,25,39,26,0,43,0,0,42,47,0,0,63,21
2019-07-07,0,33,0,39,32,68,59,43,32,48,24,40,28,58,51,0,71,48,0,24,100,51,0,55,0
2019-07-14,56,45,0,38,30,65,24,56,22,12,24,0,36,33,0,0,36,0,0,28,53,0,0,43,0
2019-07-21,29,34,98,9,24,50,37,54,33,25,40,10,52,63,53,0,45,25,35,25,60,53,0,59,0
2019-07-28,19,34,0,27,26,73,37,44,17,74,34,10,66,66,0,0,66,25,0,61,49,0,0,58,0
2019-08-04,10,9,100,57,23,58,50,50,11,38,45,21,49,41,27,44,23,0,0,11,42,54,0,64,0
2019-08-11,29,37,0,39,26,59,49,63,28,50,50,31,15,63,0,0,30,50,0,36,46,0,0,56,22
2019-08-18,29,40,0,47,31,85,12,62,11,49,39,10,25,57,26,43,22,25,35,40,32,0,0,61,0
2019-08-25,38,24,0,35,28,56,36,66,38,49,68,50,54,51,26,0,29,0,0,39,56,0,0,73,0
2019-09-01,37,27,0,36,27,70,60,48,38,73,53,40,46,50,0,0,22,0,34,32,35,0,0,62,22
2019-09-08,47,48,0,60,24,71,36,52,27,49,34,30,32,48,0,0,22,0,34,50,46,52,0,69,0
2019-09-15,28,21,0,42,26,64,59,30,32,84,38,20,46,50,0,0,28,0,67,35,42,51,0,61,0
2019-09-22,0,48,0,43,28,71,12,69,21,24,33,20,21,67,26,0,50,48,0,39,48,0,51,69,0
2019-09-29,55,50,0,38,27,63,47,56,11,12,38,30,46,61,25,0,93,24,34,21,47,0,0,68,21
2019-10-06,73,70,0,45,29,80,58,85,16,59,56,39,45,66,50,0,35,0,33,41,47,0,0,67,0
2019-10-13,100,29,0,100,41,59,46,59,16,94,19,19,45,65,0,0,42,24,33,41,49,100,0,70,0
2019-10-20,45,41,0,66,26,62,23,55,42,71,28,19,49,54,75,41,56,47,33,55,52,0,50,63,42
2019-10-27,28,44,0,46,35,63,71,39,21,48,24,30,71,69,76,0,14,24,67,42,55,0,0,64,21
2019-11-03,27,37,0,36,34,59,23,41,15,92,50,28,41,69,49,0,62,23,0,50,30,0,0,71,0
2019-11-10,52,36,0,52,38,66,22,84,25,22,44,18,63,49,24,0,13,22,0,29,49,0,0,65,20
2019-11-17,9,31,0,50,30,51,68,37,20,11,41,28,44,50,24,0,34,23,0,37,45,0,0,65,0
2019-11-24,26,28,0,66,32,71,22,76,15,34,40,18,33,59,0,0,27,89,0,46,25,0,0,72,40
2019-12-01,55,50,0,37,24,64,82,30,21,24,42,39,31,68,0,41,49,24,0,24,55,0,0,73,0
2019-12-08,37,29,0,39,28,72,23,60,11,12,47,59,28,52,0,0,64,0,0,45,31,0,0,76,0
2019-12-15,37,21,0,28,28,42,12,60,21,96,38,20,43,42,26,0,29,24,0,42,61,51,0,69,21
2019-12-22,29,19,0,43,28,61,25,27,17,13,50,21,59,64,0,0,15,0,0,55,41,0,0,70,0
2019-12-29,0,21,0,31,33,51,47,43,64,12,52,0,25,61,0,0,43,24,0,24,44,0,0,78,0
2020-01-05,35,39,0,38,30,82,66,64,30,34,62,37,40,44,0,0,60,22,0,42,59,0,0,77,40
2020-01-12,42,27,0,43,27,76,32,51,10,43,52,63,35,55,23,0,32,22,30,54,45,0,0,70,0
2020-01-19,28,45,95,26,40,73,60,52,11,12,62,20,43,36,0,0,29,24,34,53,42,0,0,62,0
2020-01-26,9,40,0,53,100,52,23,80,26,35,74,39,31,54,75,0,49,23,33,38,46,0,0,74,21
2020-02-02,42,37,0,32,67,65,11,54,29,54,64,27,51,47,46,37,64,22,30,41,45,0,0,80,0
2020-02-09,33,37,0,43,67,52,53,58,24,54,47,27,38,42,0,0,39,0,30,41,52,46,0,75,0
2020-02-16,42,24,85,53,51,77,42,42,24,75,64,44,51,45,46,37,51,0,91,44,52,46,0,76,38
2020-02-23,24,52,0,50,39,64,93,83,19,42,67,52,40,66,67,0,63,42,59,55,39,0,0,70,19
2020-03-01,15,52,0,36,37,74,79,65,40,80,60,58,56,49,0,35,30,0,28,23,37,43,0,82,0
2020-03-08,33,50,0,39,44,75,31,76,38,63,46,17,62,73,0,0,6,0,0,65,53,0,0,70,38
2020-03-15,33,34,0,41,79,54,63,49,19,42,38,26,25,56,45,0,44,64,59,49,35,0,0,93,19
2020-03-22,55,37,0,35,64,60,20,51,50,61,60,100,15,58,21,0,36,20,28,32,58,43,0,87,18
2020-03-29,15,29,0,48,78,68,48,52,22,49,50,40,63,63,21,0,46,19,0,45,30,41,0,91,0
2020-04-05,23,27,0,49,53,44,10,39,26,40,31,33,47,55,63,34,29,20,0,43,30,0,84,100,0
2020-04-12,21,43,0,25,53,62,27,30,12,55,44,23,84,44,19,0,33,18,0,45,42,39,0,94,0
2020-04-19,21,70,0,46,49,58,54,72,24,64,61,37,59,50,19,32,22,36,0,40,44,0,0,65,32
2020-04-26,37,56,0,49,49,48,56,51,30,66,64,8,42,66,20,0,11,19,27,22,37,0,0,64,0
2020-05-03,22,54,0,49,51,71,9,45,43,19,46,40,42,62,20,100,46,19,27,53,40,0,0,78,0
2020-05-10,30,53,0,34,40,62,58,46,26,98,66,49,38,48,0,0,64,0,28,60,47,0,42,83,0
2020-05-17,31,44,0,36,45,74,29,39,27,100,64,49,47,90,0,35,60,100,28,61,61,0,0,64,0
2020-05-24,53,56,0,36,47,46,10,57,18,59,63,49,32,57,21,34,29,0,28,60,50,0,42,75,0
2020-05-31,52,76,0,39,42,50,38,55,13,19,72,32,37,66,61,0,46,19,27,50,42,0,0,84,0
2020-06-07,22,66,0,50,41,49,56,61,4,76,42,31,65,64,0,0,23,95,27,67,35,40,41,73,0
2020-06-14,15,53,0,66,44,65,19,60,18,49,71,41,35,64,63,34,94,79,55,49,74,42,42,82,18
2020-06-21,61,44,0,35,36,67,10,50,22,39,74,33,44,41,0,34,18,20,0,55,39,0,0,78,0
2020-06-28,31,62,0,44,35,64,59,47,31,40,56,41,86,60,0,35,48,40,0,35,40,0,43,78,18
2020-07-05,24,43,0,41,37,91,50,55,36,20,24,17,60,45,0,0,55,20,0,36,54,0,0,77,0
2020-07-12,32,41,0,34,33,77,51,82,32,62,49,17,98,58,0,36,37,42,58,48,39,0,0,84,0
2020-07-19,40,64,0,27,33,85,82,56,32,52,49,51,58,84,44,0,31,42,29,64,68,0,89,73,19
2020-07-26,16,44,0,37,37,72,41,38,33,42,33,26,37,68,0,0,25,21,29,58,60,0,45,77,19
2020-08-02,24,58,0,47,37,80,90,26,32,72,49,17,72,64,22,0,30,61,57,51,54,0,44,84,36
2020-08-09,8,51,81,42,33,92,61,70,28,51,57,42,55,74,0,0,43,82,29,42,43,0,0,74,0
2020-08-16,40,48,0,37,34,80,30,63,41,72,61,25,40,62,22,0,74,0,0,54,56,44,44,77,18
2020-08-23,40,56,0,63,51,81,61,67,28,52,54,60,46,72,0,0,81,62,29,36,68,44,89,74,19
2020-08-30,48,48,81,51,38,98,51,41,37,62,41,51,36,50,0,36,49,21,58,39,70,44,0,64,0
2020-09-06,40,61,0,66,34,86,71,100,18,21,66,34,52,64,0,36,37,21,29,63,45,0,0,71,37
2020-09-13,48,44,0,52,47,68,31,79,42,94,58,43,65,77,67,36,87,63,0,46,80,0,0,74,19
2020-09-20,8,52,0,56,49,86,82,56,23,63,37,9,37,56,0,0,37,21,29,52,51,0,0,72,19
2020-09-27,60,57,0,47,33,63,22,68,25,22,35,37,26,56,94,0,53,22,0,68,56,0,0,77,0
2020-10-04,69,80,0,28,35,100,33,72,45,45,49,19,36,75,24,0,7,45,31,56,47,0,48,72,20
2020-10-11,37,100,0,41,32,85,12,73,32,84,33,39,21,63,25,0,43,48,67,59,37,0,51,72,21
2020-10-18,54,37,0,32,32,72,34,79,26,23,23,19,38,78,49,0,49,23,0,44,46,0,0,81,21
2020-10-25,36,69,0,48,38,89,57,58,31,35,46,38,38,54,0,0,69,0,0,41,38,0,50,72,0
2020-11-01,49,39,0,35,29,82,21,46,48,21,38,26,47,62,45,37,57,0,60,43,19,0,46,62,38
2020-11-08,35,65,0,27,27,54,45,78,41,46,55,19,30,53,49,0,34,23,32,23,48,0,0,83,0
2020-11-15,27,54,0,22,30,69,46,58,31,23,74,48,31,48,25,0,55,0,0,51,48,0,0,76,62
2020-11-22,54,46,0,19,34,77,23,54,41,23,41,29,51,75,0,0,55,23,0,68,51,0,0,69,21
2020-11-29,36,34,0,32,29,86,11,62,21,58,60,19,41,67,0,0,62,23,0,54,38,0,0,80,21
2020-12-06,54,40,0,40,32,58,57,29,31,23,51,0,31,65,0,0,28,47,33,51,59,0,50,76,21
2020-12-13,63,29,92,34,32,85,46,29,47,35,42,10,21,54,0,41,35,70,0,48,39,0,0,75,21
2020-12-20,38,27,0,29,37,60,12,44,60,25,49,10,40,57,0,0,22,25,34,75,38,0,0,79,0
2020-12-27,9,30,0,23,39,50,24,56,27,60,86,40,46,67,0,42,29,0,0,60,21,0,0,81,0
2021-01-03,28,47,94,36,35,56,94,55,27,48,61,49,84,63,0,0,71,0,0,42,52,0,0,80,0
2021-01-10,55,35,0,23,33,89,35,47,21,0,9,20,63,58,0,41,21,0,0,45,65,0,0,73,0
2021-01-17,27,55,0,32,28,74,23,72,58,12,61,39,38,87,100,0,49,24,0,55,59,0,0,70,0
2021-01-24,0,38,0,44,29,69,12,60,11,59,28,39,42,47,0,0,42,24,0,69,44,0,51,85,21
2021-01-31,56,57,0,33,34,54,47,48,48,84,62,30,50,64,0,42,57,0,0,74,29,0,0,73,22
2021-02-07,10,57,0,37,34,59,25,88,52,77,31,0,50,78,55,0,38,0,36,45,40,0,0,60,0
2021-02-14,9,57,0,45,34,72,24,48,22,36,43,40,29,61,0,42,14,24,0,53,34,0,52,73,22
2021-02-21,56,45,0,50,38,73,12,65,76,12,53,40,82,64,51,0,94,0,0,42,56,0,0,70,22
2021-02-28,28,39,0,41,30,80,48,69,27,36,58,50,100,78,0,0,65,0,34,56,56,0,0,80,43
2021-03-07,38,33,0,27,33,87,84,52,38,49,43,50,40,48,26,0,44,24,34,60,40,0,0,78,0
2021-03-14,26,49,0,35,31,73,44,92,50,11,62,9,46,64,24,0,73,22,0,39,46,0,0,73,0
2021-03-21,18,38,0,44,26,63,12,56,16,0,62,10,53,72,0,0,57,0,0,49,34,0,0,65,0
2021-03-28,56,57,0,46,30,55,36,78,70,36,38,30,68,42,0,0,36,73,0,46,37,51,0,77,0
2021-04-04,18,49,93,71,32,84,93,55,26,35,47,0,49,57,75,0,21,47,0,45,23,0,0,88,21
2021-04-11,0,64,0,43,29,71,58,50,5,35,51,48,62,43,50,41,56,47,0,55,57,0,0,76,0
2021-04-18,27,60,0,59,34,77,23,46,47,47,56,38,65,100,0,0,35,47,0,44,41,0,0,67,0
2021-04-25,27,67,0,26,30,59,93,46,26,35,61,19,28,82,50,41,49,24,0,45,52,0,0,68,21
2021-05-02,18,37,0,33,39,64,68,67,21,46,74,19,44,59,49,0,35,0,33,71,43,0,0,68,21
2021-05-09,46,62,0,52,42,75,35,85,27,59,57,10,42,41,0,0,42,48,100,66,44,0,0,65,21
2021-05-16,26,69,0,46,41,58,55,61,20,34,40,19,53,52,0,0,34,68,32,59,27,0,0,65,0
2021-05-23,43,61,0,29,40,54,66,93,15,45,49,28,46,67,24,0,33,67,0,79,54,0,0,76,40
2021-05-30,53,28,0,42,32,57,45,78,41,80,63,38,44,79,0,40,27,23,0,100,53,0,0,88,20
2021-06-06,36,31,0,38,35,55,34,75,73,81,37,29,45,54,0,0,62,0,0,58,38,0,50,79,0
2021-06-13,18,37,0,36,32,59,11,58,46,11,32,47,51,45,0,0,41,23,0,67,35,0,0,83,20
2021-06-20,18,23,0,51,35,91,23,66,62,35,23,19,38,40,25,0,34,23,0,81,46,0,0,77,0
2021-06-27,18,52,0,46,34,74,46,76,37,58,74,39,31,51,0,41,35,70,33,55,64,0,100,84,0
2021-07-04,86,55,0,61,31,75,0,70,100,28,100,0,66,32,0,97,100,0,0,90,43,0,0,83,100
