date,help,dead,no motivation,loneliness,lonely,isolated,stress,angst,emotion,social anxiety,mood swings,tired,trapped,paranoia,overwhelmed,irritable,,,,,,,,
2020-01-12,60,40,0,20,45,30,61,40,61,13,0,65,33,0,34,30,53,53,53,53,53,53,53,53
2020-01-19,50,36,0,0,58,49,71,15,45,0,0,62,24,25,38,34,47,47,47,47,47,47,47,47
2020-01-26,68,45,0,11,44,0,46,14,44,43,19,46,47,24,12,16,51,51,51,51,51,51,51,51
2020-02-02,64,37,0,20,33,44,63,13,30,66,0,61,32,67,0,30,62,62,62,62,62,62,62,62
2020-02-09,70,44,0,0,64,89,76,40,40,0,18,68,11,45,23,30,50,50,50,50,50,50,50,50
2020-02-16,82,42,0,20,30,29,65,40,80,26,53,61,22,22,34,30,55,55,55,55,55,55,55,55
2020-02-23,67,35,0,79,44,14,70,26,88,13,34,63,42,0,100,59,50,50,50,50,50,50,50,50
2020-03-01,71,48,0,47,55,68,73,0,19,49,49,57,20,41,11,0,47,47,47,47,47,47,47,47
2020-03-08,70,48,0,100,59,73,78,13,70,0,0,88,53,22,67,75,58,58,58,58,58,58,58,58
2020-03-15,61,49,0,59,43,57,91,26,29,25,17,59,63,43,33,15,63,63,63,63,63,63,63,63
2020-03-22,86,51,0,56,65,54,77,12,65,37,0,65,50,41,21,28,52,52,52,52,52,52,52,52
2020-03-29,93,56,0,46,30,53,65,61,64,24,0,64,29,20,31,96,31,31,31,31,31,31,31,31
2020-04-05,100,54,26,37,44,27,61,48,54,0,0,36,29,40,21,14,43,43,43,43,43,43,43,43
2020-04-12,88,54,0,51,82,50,57,0,34,0,30,57,0,0,19,13,63,63,63,63,63,63,63,63
2020-04-19,99,70,0,43,82,62,76,11,42,33,0,70,27,19,10,0,66,66,66,66,66,66,66,66
2020-04-26,80,82,0,44,78,65,79,23,62,23,0,46,38,59,40,27,34,34,34,34,34,34,34,34
2020-05-03,86,60,0,45,66,65,66,35,71,23,16,65,48,0,0,13,40,40,40,40,40,40,40,40
2020-05-10,73,58,27,55,61,80,72,24,82,24,64,58,29,20,21,27,58,58,58,58,58,58,58,58
2020-05-17,91,70,27,56,55,54,54,24,83,24,0,53,10,41,31,28,67,67,67,67,67,67,67,67
2020-05-24,97,54,0,55,58,94,89,24,73,36,48,53,29,0,41,41,66,66,66,66,66,66,66,66
2020-05-31,85,51,26,44,49,38,64,0,61,23,46,56,9,39,40,26,59,59,59,59,59,59,59,59
2020-06-07,76,55,26,54,46,0,88,35,35,35,0,51,57,20,20,0,55,55,55,55,55,55,55,55
2020-06-14,83,45,0,28,20,40,59,85,91,48,32,47,20,0,41,27,61,61,61,61,61,61,61,61
2020-06-21,71,41,27,9,55,0,96,25,84,24,0,54,40,0,11,14,52,52,52,52,52,52,52,52
2020-06-28,61,48,27,28,52,55,61,100,66,12,33,72,30,42,32,14,61,61,61,61,61,61,61,61
2020-07-05,70,48,0,48,53,83,75,0,28,37,0,49,51,42,11,14,64,64,64,64,64,64,64,64
2020-07-12,85,41,0,0,32,57,77,0,58,51,34,41,21,43,44,44,53,53,53,53,53,53,53,53
2020-07-19,78,48,0,49,36,28,64,38,48,38,17,71,73,0,11,15,60,60,60,60,60,60,60,60
2020-07-26,71,48,0,10,43,57,63,0,59,38,0,45,42,65,22,44,46,46,46,46,46,46,46,46
2020-08-02,79,42,28,10,39,56,79,38,67,0,0,82,31,0,11,43,43,43,43,43,43,43,43,43
2020-08-09,77,42,0,29,43,28,76,38,48,50,34,73,62,21,76,14,58,58,58,58,58,58,58,58
2020-08-16,85,43,0,29,57,57,100,51,48,38,17,71,21,22,44,29,53,53,53,53,53,53,53,53
2020-08-23,65,47,28,29,53,56,90,13,19,25,34,76,21,43,11,87,80,80,80,80,80,80,80,80
2020-08-30,69,45,0,48,63,69,81,25,95,12,17,69,71,42,65,29,53,53,53,53,53,53,53,53
2020-09-06,74,50,0,29,56,28,93,51,38,38,17,64,82,43,65,14,83,83,83,83,83,83,83,83
2020-09-13,70,46,0,29,75,14,76,26,77,0,34,67,31,64,65,58,52,52,52,52,52,52,52,52
2020-09-20,55,47,28,20,36,0,97,13,59,26,17,51,63,44,66,15,53,53,53,53,53,53,53,53
2020-09-27,74,35,30,31,27,91,73,27,21,14,36,72,11,0,35,47,86,86,86,86,86,86,86,86
2020-10-04,67,48,0,21,69,15,97,28,41,27,55,66,56,23,23,31,68,68,68,68,68,68,68,68
2020-10-11,60,49,0,22,45,32,85,0,22,29,39,67,48,25,75,17,48,48,48,48,48,48,48,48
2020-10-18,62,33,0,22,64,32,86,0,44,29,0,76,23,73,25,0,49,49,49,49,49,49,49,49
2020-10-25,59,53,32,33,56,48,64,0,44,100,19,66,59,0,0,16,67,67,67,67,67,67,67,67
2020-11-01,47,45,0,20,70,15,75,40,30,92,18,61,75,0,34,15,56,56,56,56,56,56,56,56
2020-11-08,69,44,0,43,68,16,79,14,54,57,0,43,23,24,37,32,65,65,65,65,65,65,65,65
2020-11-15,76,39,0,22,72,16,87,43,64,28,0,85,35,48,24,65,37,37,37,37,37,37,37,37
2020-11-22,60,37,0,32,36,0,43,14,21,14,0,75,58,0,12,16,49,49,49,49,49,49,49,49
2020-11-29,47,36,0,65,48,0,85,14,22,14,0,59,35,24,37,32,66,66,66,66,66,66,66,66
2020-12-06,67,44,0,22,36,32,69,29,55,43,38,60,35,73,12,33,54,54,54,54,54,54,54,54
2020-12-13,55,42,32,22,72,48,66,58,33,14,19,59,58,0,12,0,55,55,55,55,55,55,55,55
2020-12-20,51,31,0,11,55,100,46,30,57,30,100,63,98,0,13,17,91,91,91,91,91,91,91,91
2020-12-27,51,42,33,11,71,66,48,0,45,0,39,41,36,0,51,0,61,61,61,61,61,61,61,61
2021-01-03,55,50,0,33,61,65,56,0,33,15,19,94,71,0,38,100,78,78,78,78,78,78,78,78
2021-01-10,69,41,0,22,45,16,47,0,55,0,0,81,12,74,25,33,64,64,64,64,64,64,64,64
2021-01-17,64,42,0,22,41,32,60,58,99,43,0,63,12,0,25,17,60,60,60,60,60,60,60,60
2021-01-24,72,36,0,11,41,0,98,0,22,29,0,57,71,25,50,17,58,58,58,58,58,58,58,58
2021-01-31,69,44,0,11,58,33,61,59,67,29,20,54,60,0,13,17,71,71,71,71,71,71,71,71
2021-02-07,62,46,35,36,49,35,51,16,60,16,21,44,38,53,27,0,69,69,69,69,69,69,69,69
2021-02-14,65,49,0,34,80,67,76,91,34,15,0,42,61,25,13,17,95,95,95,95,95,95,95,95
2021-02-21,83,51,0,57,46,66,71,45,22,44,20,44,48,25,38,51,55,55,55,55,55,55,55,55
2021-02-28,69,43,0,34,58,49,57,15,45,15,99,65,36,0,38,34,57,57,57,57,57,57,57,57
2021-03-07,65,43,0,45,29,33,71,45,79,15,20,51,60,25,38,51,51,51,51,51,51,51,51,51
2021-03-14,64,48,30,10,19,46,69,14,31,14,0,38,67,0,47,31,62,62,62,62,62,62,62,62
2021-03-21,72,38,0,0,62,16,65,0,100,0,19,71,96,25,50,33,58,58,58,58,58,58,58,58
2021-03-28,75,44,65,11,37,0,75,60,45,59,20,82,72,100,25,0,71,71,71,71,71,71,71,71
2021-04-04,88,67,0,33,45,0,94,0,44,14,19,50,71,25,62,0,64,64,64,64,64,64,64,64
2021-04-11,70,55,0,44,48,48,57,14,65,0,0,36,35,0,0,33,65,65,65,65,65,65,65,65
2021-04-18,72,43,0,22,32,16,69,0,22,58,19,60,47,24,25,17,74,74,74,74,74,74,74,74
2021-04-25,80,46,64,11,73,96,89,29,66,43,19,77,35,0,50,17,100,100,100,100,100,100,100,100
2021-05-02,74,60,0,11,24,0,70,43,76,14,19,69,46,0,49,16,80,80,80,80,80,80,80,80
2021-05-09,66,53,0,22,20,32,52,29,55,44,19,44,60,0,38,0,40,40,40,40,40,40,40,40
2021-05-16,84,78,0,21,100,46,63,0,21,55,0,54,67,0,12,16,74,74,74,74,74,74,74,74
2021-05-23,78,100,61,21,46,0,72,28,52,55,18,54,11,23,47,16,78,78,78,78,78,78,78,78
2021-05-30,69,56,31,32,31,78,65,0,43,28,0,45,34,0,72,48,66,66,66,66,66,66,66,66
2021-06-06,72,56,63,11,44,32,72,14,76,0,38,66,46,0,37,0,35,35,35,35,35,35,35,35
2021-06-13,73,49,31,11,36,0,74,14,22,14,38,59,35,24,61,16,49,49,49,49,49,49,49,49
2021-06-20,72,47,31,22,56,0,39,29,54,28,19,79,46,48,24,0,39,39,39,39,39,39,39,39
2021-06-27,70,46,0,11,52,16,62,0,55,43,19,53,35,0,25,16,61,61,61,61,61,61,61,61
2021-07-04,72,46,0,80,29,0,96,0,40,0,0,84,0,0,0,0,57,57,57,57,57,57,57,57
