date,Institute of Mental Health,IMH,Samaritans Of Singapore,SOS,National Care Hotline,Silver Ribbon Singapore,Project StART,TRANS SAFE Centre,Care Corner,,,,,,,,,,
2020-07-12,25,35,0,20,0,0,48,0,15,53,53,53,53,53,53,53,53,53,53
2020-07-19,0,31,29,46,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60
2020-07-26,0,49,0,37,19,0,0,0,45,46,46,46,46,46,46,46,46,46,46
2020-08-02,25,48,0,42,0,71,0,0,44,43,43,43,43,43,43,43,43,43,43
2020-08-09,25,57,0,36,38,0,24,0,0,58,58,58,58,58,58,58,58,58,58
2020-08-16,100,44,0,16,0,0,0,0,30,53,53,53,53,53,53,53,53,53,53
2020-08-23,25,70,29,46,19,0,0,0,29,80,80,80,80,80,80,80,80,80,80
2020-08-30,25,73,28,26,0,70,23,0,15,53,53,53,53,53,53,53,53,53,53
2020-09-06,0,61,28,39,0,0,0,0,29,83,83,83,83,83,83,83,83,83,83
2020-09-13,0,61,0,30,0,0,24,0,15,52,52,52,52,52,52,52,52,52,52
2020-09-20,25,49,0,40,0,0,24,0,45,53,53,53,53,53,53,53,53,53,53
2020-09-27,27,47,62,21,0,0,0,0,0,86,86,86,86,86,86,86,86,86,86
2020-10-04,27,90,93,14,0,77,26,0,32,68,68,68,68,68,68,68,68,68,68
2020-10-11,0,86,0,15,0,0,0,0,34,48,48,48,48,48,48,48,48,48,48
2020-10-18,28,40,0,37,0,0,27,0,33,49,49,49,49,49,49,49,49,49,49
2020-10-25,28,30,32,33,0,0,0,0,17,67,67,67,67,67,67,67,67,67,67
2020-11-01,0,32,0,37,0,0,0,0,15,56,56,56,56,56,56,56,56,56,56
2020-11-08,0,29,32,44,0,0,0,0,17,65,65,65,65,65,65,65,65,65,65
2020-11-15,0,39,0,37,21,0,0,0,16,37,37,37,37,37,37,37,37,37,37
2020-11-22,0,24,32,40,0,0,0,0,50,49,49,49,49,49,49,49,49,49,49
2020-11-29,0,54,0,33,0,79,27,0,17,66,66,66,66,66,66,66,66,66,66
2020-12-06,28,55,33,52,21,0,27,0,0,54,54,54,54,54,54,54,54,54,54
2020-12-13,0,84,32,30,21,80,0,0,17,55,55,55,55,55,55,55,55,55,55
2020-12-20,29,36,0,19,0,0,0,0,35,91,91,91,91,91,91,91,91,91,91
2020-12-27,0,36,0,15,0,0,0,0,34,61,61,61,61,61,61,61,61,61,61
2021-01-03,0,30,0,30,0,0,0,0,0,78,78,78,78,78,78,78,78,78,78
2021-01-10,0,60,0,26,0,82,0,0,51,64,64,64,64,64,64,64,64,64,64
2021-01-17,0,50,0,11,0,81,27,0,67,60,60,60,60,60,60,60,60,60,60
2021-01-24,0,35,99,53,0,0,0,0,34,58,58,58,58,58,58,58,58,58,58
2021-01-31,0,51,33,46,22,0,28,0,34,71,71,71,71,71,71,71,71,71,71
2021-02-07,0,27,0,73,0,0,29,0,0,69,69,69,69,69,69,69,69,69,69
2021-02-14,59,47,0,93,22,0,56,0,35,95,95,95,95,95,95,95,95,95,95
2021-02-21,58,46,0,88,0,0,0,0,52,55,55,55,55,55,55,55,55,55,55
2021-02-28,29,31,34,100,22,0,0,0,17,57,57,57,57,57,57,57,57,57,57
2021-03-07,0,31,0,50,0,0,0,0,52,51,51,51,51,51,51,51,51,51,51
2021-03-14,54,38,62,53,0,0,0,0,16,62,62,62,62,62,62,62,62,62,62
2021-03-21,0,25,0,42,0,0,55,0,34,58,58,58,58,58,58,58,58,58,58
2021-03-28,0,20,33,46,0,0,0,0,17,71,71,71,71,71,71,71,71,71,71
2021-04-04,57,40,33,86,0,0,0,0,34,64,64,64,64,64,64,64,64,64,64
2021-04-11,56,74,32,78,0,0,27,0,67,65,65,65,65,65,65,65,65,65,65
2021-04-18,28,100,33,56,0,0,54,0,17,74,74,74,74,74,74,74,74,74,74
2021-04-25,28,25,0,45,22,81,0,0,0,100,100,100,100,100,100,100,100,100,100
2021-05-02,0,39,32,66,0,0,0,0,50,80,80,80,80,80,80,80,80,80,80
2021-05-09,57,35,0,34,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40
2021-05-16,0,80,0,57,0,0,0,89,16,74,74,74,74,74,74,74,74,74,74
2021-05-23,0,52,93,57,0,0,26,0,16,78,78,78,78,78,78,78,78,78,78
2021-05-30,0,24,0,65,0,0,26,0,16,66,66,66,66,66,66,66,66,66,66
2021-06-06,28,39,32,33,0,0,27,0,50,35,35,35,35,35,35,35,35,35,35
2021-06-13,0,34,32,37,0,0,27,0,17,49,49,49,49,49,49,49,49,49,49
2021-06-20,28,44,0,44,0,0,0,0,17,39,39,39,39,39,39,39,39,39,39
2021-06-27,0,55,0,37,0,0,0,0,67,61,61,61,61,61,61,61,61,61,61
2021-07-04,0,36,0,27,0,0,0,0,0,57,57,57,57,57,57,57,57,57,57
