date,restriction,social distancing,circuit breaker,quarantine,lockdown,wfh,tighter measures,phase 2,screening,testing,isolation,safe distancing,physical distancing,stay home notice,heightened alert,safe entry
2020-02-23,35,0,1,21,3,0,0,0,64,63,27,0,0,5,0,0
2020-03-01,48,1,0,31,1,10,0,0,78,60,18,0,0,8,0,0
2020-03-08,46,4,2,44,16,11,0,0,76,59,38,0,0,9,0,0
2020-03-15,100,45,2,100,100,29,0,0,78,75,66,5,0,100,0,1
2020-03-22,88,100,1,65,66,72,0,0,66,68,63,92,100,40,0,0
2020-03-29,59,64,11,39,69,99,100,0,49,70,63,59,0,23,0,0
2020-04-05,50,43,100,41,53,100,0,0,36,63,100,62,0,6,0,0
2020-04-12,26,38,61,34,39,49,0,0,34,64,52,100,0,7,0,0
2020-04-19,56,15,86,30,32,31,0,0,36,82,71,27,0,14,0,9
2020-04-26,43,12,60,27,24,32,65,0,33,61,74,29,0,7,0,10
2020-05-03,10,10,48,23,19,29,33,0,44,51,60,31,32,1,0,27
2020-05-10,25,16,47,24,20,23,0,0,36,68,53,32,32,6,0,100
2020-05-17,25,15,61,17,17,34,0,4,28,81,36,46,0,5,0,46
2020-05-24,23,17,49,17,18,30,0,10,32,67,28,48,33,4,0,40
2020-05-31,19,28,46,18,12,23,0,13,52,84,52,69,0,2,0,42
2020-06-07,24,15,30,16,12,16,0,19,58,76,37,33,0,3,0,24
2020-06-14,48,13,23,16,9,23,0,100,51,53,26,50,0,5,0,36
2020-06-21,15,9,12,14,6,20,0,25,34,66,31,32,0,2,0,28
2020-06-28,36,7,10,18,7,27,0,17,37,46,21,26,33,3,0,25
2020-07-05,18,6,8,16,15,10,0,10,58,54,19,9,0,6,0,22
2020-07-12,34,13,7,16,7,0,0,11,50,64,46,36,0,4,0,18
2020-07-19,24,8,5,15,6,14,0,9,47,65,16,26,0,4,0,14
2020-07-26,35,6,5,17,4,25,0,9,61,56,33,22,0,2,0,13
2020-08-02,21,12,6,10,6,10,0,7,73,77,26,26,0,2,0,13
2020-08-09,18,5,4,17,5,14,0,6,67,70,21,21,0,2,0,16
2020-08-16,31,10,4,14,3,14,0,4,40,65,32,26,0,5,0,18
2020-08-23,24,10,3,17,2,21,0,4,81,44,11,31,0,5,0,12
2020-08-30,18,8,4,16,4,21,0,5,76,67,29,33,0,2,0,9
2020-09-06,21,9,3,22,4,17,0,4,81,48,16,22,0,4,0,12
2020-09-13,21,4,3,17,3,21,0,5,66,64,35,24,0,4,0,13
2020-09-20,11,11,4,14,6,21,0,3,80,56,22,24,0,6,0,15
2020-09-27,23,11,3,16,4,34,0,3,70,55,34,26,0,2,0,15
2020-10-04,40,4,3,17,3,19,0,3,100,50,29,10,0,2,0,16
2020-10-11,27,2,3,15,6,8,0,2,86,48,34,14,0,7,0,9
2020-10-18,30,2,2,16,3,28,0,3,76,66,18,24,0,1,0,20
2020-10-25,9,3,1,18,5,8,0,2,83,53,30,24,0,4,0,19
2020-11-01,5,4,4,13,8,18,0,2,63,54,14,5,0,2,0,11
2020-11-08,15,3,2,15,3,12,0,3,72,43,15,35,0,2,0,16
2020-11-15,15,5,1,13,5,20,0,3,91,36,30,19,38,4,0,13
2020-11-22,9,9,2,13,3,12,0,2,70,49,24,19,0,3,0,11
2020-11-29,27,5,1,13,4,4,0,3,71,45,24,24,0,2,0,13
2020-12-06,12,5,2,16,4,4,0,3,81,50,27,30,0,2,0,11
2020-12-13,9,2,2,16,3,12,0,3,84,53,6,33,0,3,0,15
2020-12-20,19,7,2,12,6,4,0,2,59,37,19,14,0,3,0,10
2020-12-27,15,3,2,13,4,16,0,1,55,26,9,28,0,3,0,14
2021-01-03,27,4,2,22,7,12,0,1,67,51,15,22,0,2,0,12
2021-01-10,9,4,1,16,8,16,0,1,54,51,15,11,0,2,0,15
2021-01-17,27,6,2,14,4,16,0,2,61,51,9,25,0,3,0,15
2021-01-24,33,6,1,15,4,16,0,1,64,46,25,25,0,3,0,7
2021-01-31,37,8,2,18,6,12,0,0,63,51,13,14,0,1,0,9
2021-02-07,36,5,2,9,5,4,0,1,34,38,10,27,0,4,0,7
2021-02-14,18,2,2,16,2,4,0,1,73,59,13,17,0,2,0,5
2021-02-21,37,3,0,10,3,4,0,1,63,41,13,17,0,2,0,7
2021-02-28,18,2,1,14,2,4,0,1,79,64,9,8,0,0,0,7
2021-03-07,12,3,1,15,1,12,0,1,85,57,9,14,0,3,0,6
2021-03-14,14,3,1,16,3,11,0,1,41,60,6,18,0,1,0,6
2021-03-21,12,3,2,15,4,24,0,1,73,66,16,3,0,3,0,7
2021-03-28,0,4,2,14,5,29,0,1,76,44,6,11,0,1,0,5
2021-04-04,12,4,3,14,3,12,0,0,74,52,15,27,0,1,0,9
2021-04-11,12,2,1,13,5,8,0,0,82,61,21,14,0,3,0,6
2021-04-18,9,2,2,17,7,16,0,0,68,57,30,22,0,2,0,11
2021-04-25,30,3,2,20,5,4,40,0,79,56,18,11,0,3,0,11
2021-05-02,24,9,6,23,16,12,0,8,70,88,27,19,0,3,0,24
2021-05-09,33,11,12,24,17,76,41,9,57,59,34,52,0,4,14,29
2021-05-16,40,5,11,23,17,84,0,11,46,100,20,47,0,3,38,26
2021-05-23,37,2,4,23,11,30,0,10,51,67,23,23,0,3,48,9
2021-05-30,29,5,2,14,10,50,0,7,82,58,15,21,0,1,39,12
2021-06-06,32,2,2,20,8,16,0,8,40,59,15,8,0,2,100,10
2021-06-13,38,4,1,19,5,39,0,5,50,63,12,13,0,3,59,9
2021-06-20,21,2,1,28,4,8,0,2,83,80,9,21,0,4,34,5
2021-06-27,30,3,1,21,6,20,0,3,61,67,24,16,0,1,31,4
2021-07-04,64,2,1,18,4,28,0,2,42,57,22,13,92,2,23,6
