"selection1_name","selection1_District","selection1_District_url","selection1_Type","selection1_Category","selection1_Population2011","selection1_Male","selection1_Female","selection1_LiteracyRate"
"Firozabad","Firozabad","https://en.wikipedia.org/wiki/Firozabad_district","City","Nagar Nigam","603,797","320,012","283,785","75.01"
"Jhansi","Jhansi","https://en.wikipedia.org/wiki/Jhansi_district","UA","Nagar Nigam","549,391","292,497","256,894","84.41"
"Muzaffarnagar","Muzaffarnagar","https://en.wikipedia.org/wiki/Muzaffarnagar_district","City","Nagar Palika","494,792","261,338","233,454","80.99"
"Mathura-Vrindavan","Mathura","https://en.wikipedia.org/wiki/Mathura_district","UA","Nagar Nigam","454,937","244,333","210,604","77.11"
"Budaun","Budaun","https://en.wikipedia.org/wiki/Budaun_district","UA","Nagar Palika","369,221","188,475","179,746","83.00"
"Rampur","Rampur","https://en.wikipedia.org/wiki/Rampur_district","UA","Nagar Palika","359,062","182,325","166,737","79.56"
"Shahjahanpur","Shahjahanpur","https://en.wikipedia.org/wiki/Shahjahanpur_district","UA","Nagar Nigam","356,103","183,087","163,016","79.81"
"Farrukhabad","Farrukhabad","https://en.wikipedia.org/wiki/Farrukhabad_district","UA","Nagar Palika","318,540","164,630","145,910","75.60"
"Ayodhya Cantt","Ayodhya","https://en.wikipedia.org/wiki/Faizabad_district","UA","Nagar Palika","290,799","140,799","150,000","93.89"
"Maunath Bhanjan","Mau","https://en.wikipedia.org/wiki/Mau_district","City","Nagar Palika","279,060","143,273","135,787","78.60"
"Hapur","Hapur","https://en.wikipedia.org/wiki/Hapur_district","City","Nagar Palika","262,801","139,694","123,107","75.34"
"Noida","","","City","Notified Area","259,160","139,074","120,086","88.58"
"Etawah","Etawah","https://en.wikipedia.org/wiki/Etawah_district","City","Nagar Palika","256,790","135,829","120,961","82.89"
"Mirzapur","Mirzapur","https://en.wikipedia.org/wiki/Mirzapur_district","UA","Nagar Palika","245,817","131,534","114,283","77.85"
"Bulandshahr","Bulandshahr","https://en.wikipedia.org/wiki/Bulandshahr_district","UA","Nagar Palika","235,310","125,549","111,761","78.37"
"Sambhal","Sambhal","https://en.wikipedia.org/wiki/Sambhal_district","City","Nagar Palika","221,334","116,008","105,326","49.51"
"Amroha","Amroha","https://en.wikipedia.org/wiki/Amroha_district","City","Nagar Palika","197,135","102,804","94,331","63.88"
"Hardoi","Hardoi","https://en.wikipedia.org/wiki/Hardoi_district","UA","Nagar Palika","197,046","104,201","92,845","83.27"
"Fatehpur","Fatehpur","https://en.wikipedia.org/wiki/Fatehpur_district","City","Nagar Palika","193,801","101,620","92,181","77.69"
"Raebareli","Raebareli","https://en.wikipedia.org/wiki/Raebareli_district","City","Nagar Palika","191,625","99,844","91,212","82.97"
"Orai","Jalaun","https://en.wikipedia.org/wiki/Jalaun_district","UA","Nagar Palika","190,625","101,434","89,191","83.35"
"Sitapur","Sitapur","https://en.wikipedia.org/wiki/Sitapur_district","UA","Nagar Palika","188,230","99,129","89,101","83.02"
"Bahraich","Bahraich","https://en.wikipedia.org/wiki/Bahraich_district","City","Nagar Palika","186,241","98,529","87,712","75.3"
"Modinagar","Ghaziabad","https://en.wikipedia.org/wiki/Ghaziabad_district,_India","UA","Nagar Palika","182,811","97,335","85,476","87.03"
"Unnao","Unnao","https://en.wikipedia.org/wiki/Unnao_district","City","Nagar Palika","178,681","94,080","84,601","83.72"
"Jaunpur","Jaunpur","https://en.wikipedia.org/wiki/Jaunpur_district","City","Nagar Palika","168,128","88,704","79,424","82.11"
"Lakhimpur","Lakhimpur Kheri","https://en.wikipedia.org/wiki/Lakhimpur_Kheri_district","UA","Nagar Palika","164,925","88,908","77,017","83.80"
"Hathras","Hathras","https://en.wikipedia.org/wiki/Hathras_district","UA","Nagar Palika","161,289","86,028","75,261","78.05"
"Banda","Banda","https://en.wikipedia.org/wiki/Banda_district_(India)","UA","Nagar Palika","160,432","85,473","74,959","83.61"
"Pilibhit","Pilibhit","https://en.wikipedia.org/wiki/Pilibhit_district","UA","Nagar Palika","160,146","84,546","75,600","72.30"
"Deen Dayal upadhayay","Chandauli","https://en.wikipedia.org/wiki/Chandauli_district","UA","Nagar Palika","154,692","81,524","73,168","78.08"
"Barabanki","Barabanki","https://en.wikipedia.org/wiki/Barabanki,_Uttar_Pradesh","UA","Nagar Palika","154,692","77,766","69,065","81.15"
"Khurja","Bulandshahr","https://en.wikipedia.org/wiki/Bulandshahr_district","UA","Nagar Palika","142,636","75,384","67,252","72.75"
"Gonda","Gonda","https://en.wikipedia.org/wiki/Gonda_district","UA","Nagar Palika","200000","71,475","67,454","80.32"
"Mainpuri","Mainpuri","https://en.wikipedia.org/wiki/Mainpuri_district","UA","Nagar Palika","133,078","69,788","63,290","85.66"
"Lalitpur","Lalitpur","https://en.wikipedia.org/wiki/Lalitpur_District,_India","City","Nagar Palika","133,041","69,548","63,493","83.96"
"Etah","Etah","https://en.wikipedia.org/wiki/Etah_district","UA","Nagar Palika","131,023","69,446","61,577","85.62"
"Deoria","Deoria","https://en.wikipedia.org/wiki/Deoria_district","City","Nagar Palika","129,570","67,754","61,816","93.73"
"Ujhani","Budaun","https://en.wikipedia.org/wiki/Budaun_district","UA","Nagar Palika","126,000","64,000","62,000","87.00"
"Ghazipur","Ghazipur","https://en.wikipedia.org/wiki/Ghazipur_district","UA","Nagar Palika","121,136","63,689","57,447","84.97"
"Sultanpur","Sultanpur","https://en.wikipedia.org/wiki/Sultanpur_district","UA","Nagar Palika","116,211","61,062","55,149","87.61"
"Azamgarh","Azamgarh","https://en.wikipedia.org/wiki/Azamgarh_district","UA","Nagar Palika","116,165","60,678","55,487","86.27"
"Bijnor","Bijnor","https://en.wikipedia.org/wiki/Bijnor_district","UA","Nagar Palika","115,381","60,656","54,725","77.90"
"Sahaswan","Budaun","https://en.wikipedia.org/wiki/Budaun_district","UA","Nagar Palika","114,921","59,421","55,500","71.00"
"Basti","Basti","https://en.wikipedia.org/wiki/Basti_district","City","Nagar Palika","114,651","60,126","54,525","85.29"
"Chandausi","Sambhal","https://en.wikipedia.org/wiki/Sambhal_district","City","Nagar Palika","114,254","60,238","54,016","72.63"
"Akbarpur","Ambedkar Nagar","https://en.wikipedia.org/wiki/Ambedkar_Nagar_district","City","Nagar Palika","111,594","57,560","54,034","76.94"
"Ballia","Ballia","https://en.wikipedia.org/wiki/Ballia_district","UA","Nagar Palika","111,287","59,340","51,947","86.65"
"Tanda","Ambedkar Nagar","https://en.wikipedia.org/wiki/Ambedkar_Nagar_district","UA","Nagar Palika","109,539","55,946","53,593","69.25"
"Greater Noida","Gautam Budh Nagar","https://en.wikipedia.org/wiki/Gautam_Budh_Nagar_district","City","Notified Area","107,676","58,662","49,014","86.54"
"Shikohabad","Firozabad","https://en.wikipedia.org/wiki/Firozabad_district","City","Nagar Palika","107,300","57,017","50,283","81.68"
"Shamli","Shamli","https://en.wikipedia.org/wiki/Shamli_district","City","Nagar Palika","147,233","57,236","49,997","81.97"
"Awagarh","Etah","https://en.wikipedia.org/wiki/Etah_district","City","Nagar Palika","102,106","54,335","48,771","71.44"
"Kasganj","Kasganj","https://en.wikipedia.org/wiki/Kasganj_district","City","Nagar Palika","101,241","53,507","47,734","78.56"
