unit,age,sex,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PC,Y_GE15,F,ES51	7.6 	8.7 	15.0 	16.5 	18.4 	21.7 	22.4 	20.0 	19.4 	16.9 	14.4 	12.1 
PC,Y_GE15,F,ES52	11.3 	13.4 	20.5 	22.8 	24.3 	27.0 	29.2 	26.8 	23.8 	22.6 	20.2 	17.5 
PC,Y_GE15,F,ES53	8.7 	10.8 	16.2 	19.3 	21.3 	24.1 	21.9 	18.4 	17.3 	14.4 	12.5 	10.9 
PC,Y_GE15,F,ES61	17.4 	21.2 	26.8 	29.2 	32.0 	35.5 	38.0 	37.3 	34.5 	32.1 	28.6 	26.9 
PC,Y_GE15,F,ES62	9.9 	13.1 	18.5 	22.4 	25.0 	27.4 	29.5 	29.1 	28.4 	23.0 	21.6 	21.0 
PC,Y_GE15,F,ES63	30.1 u	26.0 u	27.4 u	28.4 u	36.9 	48.0 	43.8 	36.4 	36.5 	32.0 u	29.6 u	36.3 
PC,Y_GE15,F,ES64	27.6 u	28.6 u	32.1 u	30.3 u	27.3 u	33.4 u	31.7 u	35.4 	40.1 	37.7 	37.5 	31.6 
PC,Y_GE15,F,ES70	12.9 	18.8 	26.5 	27.9 	29.1 	33.3 	33.0 	33.1 	30.6 	28.0 	26.0 	21.4 
PC,Y_GE15,F,FI19	7.5 	7.2 b	8.4 	7.9 	7.9 	7.7 	7.6 	8.0 	9.4 	9.3 	8.9 	7.6 
PC,Y_GE15,F,FI1B	4.7 	4.6 b	5.3 	6.0 	5.4 	6.0 	6.2 	6.5 	7.5 	7.2 	7.8 	6.6 
PC,Y_GE15,F,FI1C	7.0 	7.0 b	8.0 	8.4 	7.6 	6.5 	7.9 	9.2 	9.2 	8.9 	8.0 	7.4 
PC,Y_GE15,F,FI1D	10.6 	8.9 b	9.7 	9.1 	8.4 	8.5 	9.1 	9.1 	10.1 	9.7 	9.2 	8.0 
PC,Y_GE15,F,FI20	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC,Y_GE15,F,FR10	7.7 	6.1 	7.3 	8.5 	7.9 	7.6 	8.2 	9.1 	8.4 	8.9 	8.7 	8.4 
PC,Y_GE15,F,FRB0	6.0 	6.2 	6.7 	6.7 	8.7 	10.7 	10.0 	9.8 	10.4 	10.3 	8.3 	8.2 
PC,Y_GE15,F,FRC1	7.6 	6.4 	7.8 	9.1 	9.6 	8.6 	10.9 	9.8 	8.8 	8.3 	10.3 	8.3 
PC,Y_GE15,F,FRC2	8.8 	9.4 	8.6 	8.1 	8.7 	9.1 	8.6 	8.7 	8.7 	8.0 	6.7 	7.5 
PC,Y_GE15,F,FRD1	7.6 	8.0 	7.4 	8.0 	9.1 	8.9 	8.5 	8.2 	8.5 	8.6 	8.3 	8.3 
PC,Y_GE15,F,FRD2	8.8 	9.8 	10.9 	10.5 	9.7 	9.9 	11.4 	12.4 	9.7 	10.8 	10.6 	8.4 
PC,Y_GE15,F,FRE1	11.1 	11.5 	12.9 	12.8 	13.0 	12.4 	14.3 	12.6 	13.1 	12.5 	11.6 	11.4 
PC,Y_GE15,F,FRE2	9.8 	7.9 	9.9 	11.5 	9.5 	10.9 	12.1 	11.8 	11.5 	11.4 	10.3 	7.9 
PC,Y_GE15,F,FRF1	6.3 	7.1 	8.4 	8.9 	8.2 	7.9 	10.3 	11.3 	8.9 	9.6 	8.4 	7.9 
PC,Y_GE15,F,FRF2	9.0 	8.8 	9.7 	9.2 	10.3 	10.6 	10.9 	11.0 	11.3 	11.2 	9.6 	9.4 
PC,Y_GE15,F,FRF3	7.7 	8.9 	10.7 	9.6 	10.2 	10.9 	12.1 	11.8 	11.3 	10.6 	10.4 	10.4 
PC,Y_GE15,F,FRG0	6.9 	6.8 	8.7 	9.3 	9.0 	9.1 	9.2 	8.7 	8.9 	9.0 	7.1 	8.6 
PC,Y_GE15,F,FRH0	7.5 	5.5 	6.8 	7.7 	7.1 	8.1 	8.5 	7.4 	7.1 	9.5 	7.7 	6.9 
PC,Y_GE15,F,FRI1	7.5 	8.3 	9.0 	9.2 	8.9 	9.6 	8.8 	8.0 	9.7 	10.1 	9.8 	9.2 
PC,Y_GE15,F,FRI2	7.8 u	6.1 u	6.4 u	6.2 u	7.5 	7.3 	6.7 	8.8 	8.0 	6.9 	5.1 u	7.0 
PC,Y_GE15,F,FRI3	6.9 	7.4 	8.8 	6.4 	7.7 	9.0 	10.5 	11.3 	8.9 	8.6 	10.4 	9.6 
PC,Y_GE15,F,FRJ1	10.2 	9.5 	12.7 	11.7 	12.1 	14.9 	13.1 	12.5 	12.2 	11.4 	12.4 	11.9 
PC,Y_GE15,F,FRJ2	8.3 	6.9 	9.8 	7.8 	8.6 	8.7 	8.1 	9.0 	8.2 	8.5 	7.7 	9.5 
PC,Y_GE15,F,FRK1	8.9 	7.4 	7.8 	7.5 	9.0 	10.5 	9.9 	7.3 	8.0 	7.3 	8.4 	8.4 
PC,Y_GE15,F,FRK2	7.0 	6.8 	8.5 	8.7 	8.6 	8.1 	8.4 	8.4 	9.0 	8.1 	7.5 	7.3 
PC,Y_GE15,F,FRL0	9.7 	7.8 	9.0 	10.2 	10.5 	10.2 	11.0 	9.5 	11.1 	10.4 	9.9 	8.9 
PC,Y_GE15,F,FRM0	: u	: u	: u	: u	: u	: u	15.3 u	14.1 u	16.5 u	9.8 u	13.5 u	: u
PC,Y_GE15,F,FRY1	26.0 	25.5 	26.3 	26.0 	25.8 	25.2 	28.3 	25.6 	25.7 	25.0 	23.0 	23.9 
PC,Y_GE15,F,FRY2	21.6 	24.2 	23.0 	22.2 	22.5 	22.6 	22.8 	19.7 	16.7 	17.2 	19.6 	16.8 
PC,Y_GE15,F,FRY3	25.1 	28.8 	25.9 	24.9 	25.5 	26.1 	26.3 	28.3 	26.5 	24.8 	23.8 	20.3 
PC,Y_GE15,F,FRY4	25.8 	26.4 	29.0 	30.0 	31.8 	30.5 	29.7 	25.9 	24.6 	22.0 	22.6 	24.4 
PC,Y_GE15,F,FRY5	: 	: 	: 	: 	: 	: 	26.1 	30.2 	32.0 	35.6 	33.5 	41.8 
PC,Y_GE15,F,HR03	9.8 	11.4 	12.0 	12.4 	13.3 	14.0 	13.9 	17.7 	17.0 	14.1 	11.8 	9.8 
PC,Y_GE15,F,HR04	12.0 	9.9 	10.1 	12.3 	13.9 	16.9 	18.1 	18.6 	16.9 	13.6 	11.9 	9.1 
PC,Y_GE15,F,HU10	5.2 	5.2 	5.9 	8.3 	8.6 	8.2 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,HU11	: 	: 	: 	: 	: 	: 	8.2 	7.0 	5.5 	3.7 	3.1 	3.5 
PC,Y_GE15,F,HU12	: 	: 	: 	: 	: 	: 	7.9 	6.2 	5.2 	3.5 	2.9 	2.2 
PC,Y_GE15,F,HU21	5.5 	6.1 	9.6 	10.9 	10.3 	10.3 	9.3 	5.7 	5.0 	3.2 	2.5 	2.3 
PC,Y_GE15,F,HU22	6.3 	6.2 	9.2 	8.6 	7.8 	7.2 	7.9 	5.1 	4.2 	3.1 	3.1 	2.9 
PC,Y_GE15,F,HU23	10.2 	9.4 	11.0 	11.3 	13.4 	12.5 	9.0 	7.1 	8.5 	5.8 	6.5 	5.8 
PC,Y_GE15,F,HU31	12.0 	12.3 	13.9 	14.5 	16.2 	15.3 	12.6 	10.3 	8.8 	6.5 	6.3 	4.9 
PC,Y_GE15,F,HU32	10.9 	12.4 	13.9 	14.0 	14.4 	14.4 	15.1 	12.3 	11.0 	9.0 	8.0 	6.7 
PC,Y_GE15,F,HU33	8.4 	8.8 	10.9 	10.7 	10.2 	10.3 	11.0 	8.7 	8.3 	6.0 	4.7 	3.7 
PC,Y_GE15,F,IE01	5.5 b	6.6 	10.0 	11.3 	13.1 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE02	4.7 b	5.4 	9.3 	11.4 	12.3 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,IE04	: 	: 	: 	: 	: 	13.2 	12.6 	10.6 	8.7 	7.5 	5.5 b	5.4 
PC,Y_GE15,F,IE05	: 	: 	: 	: 	: 	13.8 	12.9 	11.6 	9.5 	7.9 	6.5 b	5.9 
PC,Y_GE15,F,IE06	: 	: 	: 	: 	: 	11.9 	12.0 	10.5 	8.6 	7.5 	6.4 b	5.6 
PC,Y_GE15,F,IS00	2.3 	2.6 	5.7 	6.7 	6.2 	5.7 	5.1 	4.8 	4.1 	3.0 	2.7 	2.5 
PC,Y_GE15,F,ITC1	5.2 	6.4 	7.8 	8.3 	8.5 	10.5 	11.0 	12.1 	10.5 	10.0 	10.2 	9.0 
PC,Y_GE15,F,ITC2	: u	: u	: u	: u	: u	6.9 u	8.1 u	8.4 u	8.1 u	8.5 u	7.7 u	7.3 u
PC,Y_GE15,F,ITC3	5.6 	7.1 	7.1 	7.5 	7.2 	10.2 	10.9 	11.7 	9.5 	11.5 	11.6 	12.2 
PC,Y_GE15,F,ITC4	4.5 	4.8 	6.3 	6.5 	6.6 	8.4 	8.7 	8.8 	8.7 	8.6 	7.7 	7.1 
PC,Y_GE15,F,ITF1	9.7 	8.8 	10.2 	11.3 	10.5 	13.0 	11.6 	14.8 	15.5 	15.2 	15.3 	14.7 
PC,Y_GE15,F,ITF2	10.8 	12.5 	11.0 	9.5 	11.6 	14.4 	15.5 	15.3 	14.7 	14.0 	14.3 	15.1 
PC,Y_GE15,F,ITF3	14.5 	16.7 	16.0 	17.2 	18.9 	22.3 	23.7 	25.3 	23.0 	23.6 	24.0 	23.4 
PC,Y_GE15,F,ITF4	15.5 	16.0 	16.2 	16.3 	16.9 	18.7 	23.2 	25.4 	21.8 	22.7 	22.2 	18.8 
PC,Y_GE15,F,ITF5	15.0 	15.0 	13.9 	15.6 	13.1 	14.4 	14.7 	16.1 	15.8 	15.3 	14.9 	14.3 
PC,Y_GE15,F,ITF6	14.4 	15.6 	13.7 	13.8 	13.4 	21.3 	23.7 	26.5 	23.7 	26.3 	24.2 	24.8 
PC,Y_GE15,F,ITG1	17.2 	17.1 	16.4 	17.1 	17.0 	20.5 	22.9 	24.1 	22.7 	24.0 	23.4 	24.3 
PC,Y_GE15,F,ITG2	14.1 	15.8 	16.0 	14.6 	14.6 	15.8 	16.9 	19.0 	18.2 	17.8 	17.1 	15.0 
PC,Y_GE15,F,ITH1	3.3 	3.0 	3.4 	3.2 	3.8 	4.8 	5.0 	4.3 	4.2 	4.1 	3.9 	3.0 
