date,labour_force,employment_thousands,unemployment_thousands,unemployment_rate
2009-09-30,153827.0,138818.0,15009.0,9.8
2009-10-31,153784.0,138432.0,15352.0,10.0
2009-11-30,153878.0,138659.0,15219.0,9.9
2009-12-31,153111.0,138013.0,15098.0,9.9
2010-01-31,153484.0,138438.0,15046.0,9.8
2010-02-28,153694.0,138581.0,15113.0,9.8
2010-03-31,153954.0,138751.0,15202.0,9.9
2010-04-30,154622.0,139297.0,15325.0,9.9
2010-05-31,154091.0,139241.0,14849.0,9.6
2010-06-30,153616.0,139141.0,14474.0,9.4
2010-07-31,153691.0,139179.0,14512.0,9.4
2010-08-31,154086.0,139438.0,14648.0,9.5
2010-09-30,153975.0,139396.0,14579.0,9.5
2010-10-31,153635.0,139119.0,14516.0,9.4
2010-11-30,154125.0,139044.0,15081.0,9.8
2010-12-31,153650.0,139301.0,14348.0,9.3
2011-01-31,153263.0,139250.0,14013.0,9.1
2011-02-28,153214.0,139394.0,13820.0,9.0
2011-03-31,153376.0,139639.0,13737.0,9.0
2011-04-30,153543.0,139586.0,13957.0,9.1
2011-05-31,153479.0,139624.0,13855.0,9.0
2011-06-30,153346.0,139384.0,13962.0,9.1
2011-07-31,153288.0,139524.0,13763.0,9.0
2011-08-31,153760.0,139942.0,13818.0,9.0
2011-09-30,154131.0,140183.0,13948.0,9.0
2011-10-31,153961.0,140368.0,13594.0,8.8
2011-11-30,154128.0,140826.0,13302.0,8.6
2011-12-31,153995.0,140902.0,13093.0,8.5
2012-01-31,154381.0,141584.0,12797.0,8.3
2012-02-29,154671.0,141858.0,12813.0,8.3
2012-03-31,154749.0,142036.0,12713.0,8.2
2012-04-30,154545.0,141899.0,12646.0,8.2
2012-05-31,154866.0,142206.0,12660.0,8.2
2012-06-30,155083.0,142391.0,12692.0,8.2
2012-07-31,154948.0,142292.0,12656.0,8.2
2012-08-31,154763.0,142291.0,12471.0,8.1
2012-09-30,155160.0,143044.0,12115.0,7.8
2012-10-31,155554.0,143431.0,12124.0,7.8
2012-11-30,155338.0,143333.0,12005.0,7.7
2012-12-31,155628.0,143330.0,12298.0,7.9
2013-01-31,155763.0,143292.0,12471.0,8.0
2013-02-28,155312.0,143362.0,11950.0,7.7
2013-03-31,155005.0,143316.0,11689.0,7.5
2013-04-30,155394.0,143635.0,11760.0,7.6
2013-05-31,155536.0,143882.0,11654.0,7.5
2013-06-30,155749.0,143999.0,11751.0,7.5
2013-07-31,155599.0,144264.0,11335.0,7.3
2013-08-31,155605.0,144326.0,11279.0,7.2
2013-09-30,155687.0,144418.0,11270.0,7.2
2013-10-31,154673.0,143537.0,11136.0,7.2
2013-11-30,155265.0,144479.0,10787.0,6.9
2013-12-31,155182.0,144778.0,10404.0,6.7
2014-01-31,155352.0,145150.0,10202.0,6.6
2014-02-28,155483.0,145134.0,10349.0,6.7
2014-03-31,156028.0,145648.0,10380.0,6.7
2014-04-30,155369.0,145667.0,9702.0,6.2
2014-05-31,155684.0,145825.0,9859.0,6.3
2014-06-30,155707.0,146247.0,9460.0,6.1
2014-07-31,156007.0,146399.0,9608.0,6.2
2014-08-31,156130.0,146530.0,9599.0,6.1
2014-09-30,156040.0,146778.0,9262.0,5.9
2014-10-31,156417.0,147427.0,8990.0,5.7
2014-11-30,156494.0,147404.0,9090.0,5.8
2014-12-31,156332.0,147615.0,8717.0,5.6
2015-01-31,157030.0,148145.0,8885.0,5.7
2015-02-28,156644.0,148045.0,8599.0,5.5
2015-03-31,156643.0,148128.0,8515.0,5.4
2015-04-30,157060.0,148511.0,8550.0,5.4
2015-05-31,157651.0,148817.0,8834.0,5.6
2015-06-30,157062.0,148816.0,8247.0,5.3
2015-07-31,156997.0,148830.0,8167.0,5.2
2015-08-31,157172.0,149181.0,7992.0,5.1
2015-09-30,156733.0,148826.0,7907.0,5.0
2015-10-31,157167.0,149246.0,7922.0,5.0
2015-11-30,157463.0,149463.0,8000.0,5.1
2015-12-31,158035.0,150128.0,7907.0,5.0
2016-01-31,158342.0,150621.0,7721.0,4.9
2016-02-29,158653.0,150908.0,7746.0,4.9
2016-03-31,159103.0,151157.0,7945.0,5.0
2016-04-30,158981.0,151006.0,7975.0,5.0
2016-05-31,158787.0,151119.0,7668.0,4.8
2016-06-30,158973.0,151187.0,7786.0,4.9
2016-07-31,159123.0,151465.0,7658.0,4.8
2016-08-31,159579.0,151770.0,7809.0,4.9
2016-09-30,159817.0,151850.0,7967.0,5.0
2016-10-31,159734.0,151907.0,7827.0,4.9
2016-11-30,159551.0,152063.0,7488.0,4.7
2016-12-31,159710.0,152216.0,7495.0,4.7
2017-01-31,159647.0,152129.0,7518.0,4.7
2017-02-28,159767.0,152368.0,7399.0,4.6
2017-03-31,160066.0,152978.0,7088.0,4.4
2017-04-30,160309.0,153224.0,7085.0,4.4
2017-05-31,160060.0,153001.0,7059.0,4.4
2017-06-30,160232.0,153299.0,6933.0,4.3
2017-07-31,160339.0,153471.0,6867.0,4.3
2017-08-31,160690.0,153593.0,7097.0,4.4
2017-09-30,161212.0,154371.0,6841.0,4.2
2017-10-31,160378.0,153779.0,6599.0,4.1
2017-11-30,160510.0,153813.0,6697.0,4.2
2017-12-31,160538.0,153977.0,6561.0,4.1
2018-01-31,161068.0,154486.0,6582.0,4.1
2018-02-28,161783.0,155142.0,6641.0,4.1
2018-03-31,161684.0,155191.0,6493.0,4.0
2018-04-30,161742.0,155324.0,6418.0,4.0
2018-05-31,161874.0,155665.0,6209.0,3.8
2018-06-30,162269.0,155750.0,6519.0,4.0
2018-07-31,162173.0,155993.0,6180.0,3.8
2018-08-31,161768.0,155601.0,6167.0,3.8
2018-09-30,162078.0,156032.0,6045.0,3.7
2018-10-31,162605.0,156482.0,6123.0,3.8
2018-11-30,162662.0,156628.0,6034.0,3.7
2018-12-31,163111.0,156825.0,6286.0,3.9
2019-01-31,163142.0,156627.0,6516.0,4.0
2019-02-28,163047.0,156866.0,6181.0,3.8
2019-03-31,162935.0,156741.0,6194.0,3.8
2019-04-30,162546.0,156696.0,5850.0,3.6
2019-05-31,162782.0,156844.0,5938.0,3.6
2019-06-30,163133.0,157148.0,5985.0,3.7
2019-07-31,163373.0,157346.0,6027.0,3.7
2019-08-31,163894.0,157895.0,5999.0,3.7
2019-09-30,164051.0,158298.0,5753.0,3.5
2019-10-31,164401.0,158544.0,5857.0,3.6
2019-11-30,164347.0,158536.0,5811.0,3.5
2019-12-31,164556.0,158803.0,5753.0,3.5
2020-01-31,164606.0,158714.0,5892.0,3.6
2020-02-29,164546.0,158759.0,5787.0,3.5
2020-03-31,162913.0,155772.0,7140.0,4.4
