Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Madhya Pradesh, 31-03-2020, M, 4.80, 6386723.00, 36.68
Madhya Pradesh, 30-04-2020, M, 11.94, 4802873.00, 29.76
Maharashtra, 30-11-2019, M, 7.60, 17486683.00, 39.61
Maharashtra, 31-12-2019, M, 7.83, 16581144.00, 37.57
Maharashtra, 31-01-2020, M, 6.67, 16715469.00, 37.32
Maharashtra, 29-02-2020, M, 5.34, 17122782.00, 37.61
Maharashtra, 31-03-2020, M, 6.34, 17065829.00, 37.80
Maharashtra, 30-04-2020, M, 14.99, 12674451.00, 30.86
Meghalaya, 30-11-2019, M, 3.02, 293431.00, 57.02
Meghalaya, 31-12-2019, M, 5.21, 267417.00, 53.04
Meghalaya, 31-01-2020, M, 4.76, 261686.00, 51.53
Meghalaya, 29-02-2020, M, 7.37, 233965.00, 47.26
Meghalaya, 31-03-2020, M, 2.80, 289734.00, 55.64
Meghalaya, 30-04-2020, M, 17.39, 161939.00, 36.51
Odisha, 30-11-2019, M, 2.23, 2594469.00, 41.71
Odisha, 31-12-2019, M, 3.36, 2369048.00, 38.46
Odisha, 31-01-2020, M, 2.28, 2561319.00, 41.05
Odisha, 29-02-2020, M, 2.19, 2438079.00, 38.97
Odisha, 31-03-2020, M, 3.96, 2457952.00, 39.93
Odisha, 30-04-2020, M, 20.50, 1303244.00, 25.53
Puducherry, 30-11-2019, M, 1.37, 275003.00, 34.19
Puducherry, 31-12-2019, M, 5.21, 313135.00, 40.42
Puducherry, 31-01-2020, M, 0.57, 281698.00, 34.59
Puducherry, 29-02-2020, M, 1.78, 310341.00, 38.50
Puducherry, 31-03-2020, M, 0.62, 278851.00, 34.12
Puducherry, 30-04-2020, M, 76.74, 68121.00, 35.54
Punjab, 30-11-2019, M, 10.39, 3602243.00, 41.82
Punjab, 31-12-2019, M, 11.97, 3575778.00, 42.17
Punjab, 31-01-2020, M, 13.68, 3252621.00, 39.04
Punjab, 29-02-2020, M, 11.99, 3219227.00, 37.82
Punjab, 31-03-2020, M, 9.97, 3601793.00, 41.29
Punjab, 30-04-2020, M, 1.13, 2298975.00, 23.95
Rajasthan, 30-11-2019, M, 14.30, 5306715.00, 40.73
Rajasthan, 31-12-2019, M, 18.04, 5109481.00, 40.90
Rajasthan, 31-01-2020, M, 18.82, 5157363.00, 41.59
Rajasthan, 29-02-2020, M, 17.02, 5288343.00, 41.62
Rajasthan, 31-03-2020, M, 18.54, 4964911.00, 39.71
Rajasthan, 30-04-2020, M, 35.53, 2932923.00, 29.57
Sikkim, 30-11-2019, M, 4.04, 107751.00, 53.80
Sikkim, 31-12-2019, M, 7.37, 88035.00, 45.24
Sikkim, 31-03-2020, M, 20.45, 86185.00, 50.57
Sikkim, 30-04-2020, M, 5.77, 81904.00, 40.31
Tamil Nadu, 30-11-2019, M, 2.65, 11729952.00, 37.38
Tamil Nadu, 31-12-2019, M, 8.05, 12260389.00, 41.29
Tamil Nadu, 31-01-2020, M, 2.05, 11926995.00, 37.64
Tamil Nadu, 29-02-2020, M, 3.31, 11742101.00, 37.48
Tamil Nadu, 31-03-2020, M, 6.46, 10982178.00, 36.17
Tamil Nadu, 30-04-2020, M, 45.55, 4632966.00, 26.17
Telangana, 30-11-2019, M, 5.23, 5338119.00, 43.87
Telangana, 31-12-2019, M, 4.22, 5317782.00, 43.13
Telangana, 31-01-2020, M, 6.49, 5543380.00, 45.95
Telangana, 29-02-2020, M, 6.74, 5521495.00, 45.78
Telangana, 31-03-2020, M, 6.10, 5313236.00, 43.65
Telangana, 30-04-2020, M, 10.50, 3378430.00, 29.05
Tripura, 30-11-2019, M, 27.15, 427700.00, 62.14
Tripura, 31-12-2019, M, 33.48, 399427.00, 63.41
Tripura, 31-01-2020, M, 34.37, 450155.00, 72.26
Tripura, 29-02-2020, M, 33.88, 415338.00, 66.04
Tripura, 31-03-2020, M, 25.69, 450270.00, 63.56
Tripura, 30-04-2020, M, 34.88, 296430.00, 47.65
Uttar Pradesh, 30-11-2019, M, 11.31, 14128888.00, 40.60
Uttar Pradesh, 31-12-2019, M, 12.37, 13857200.00, 40.21
Uttar Pradesh, 31-01-2020, M, 12.34, 13656250.00, 39.52
Uttar Pradesh, 29-02-2020, M, 11.65, 13803098.00, 39.54
Uttar Pradesh, 31-03-2020, M, 12.32, 13889631.00, 40.00
Uttar Pradesh, 30-04-2020, M, 26.94, 10944379.00, 37.74
Uttarakhand, 30-11-2019, M, 6.34, 904903.00, 33.61
Uttarakhand, 31-12-2019, M, 7.39, 844779.00, 31.65
Uttarakhand, 31-01-2020, M, 8.92, 725252.00, 27.55
Uttarakhand, 29-02-2020, M, 5.28, 963407.00, 35.11
Uttarakhand, 31-03-2020, M, 8.15, 889244.00, 33.33
Uttarakhand, 30-04-2020, M, 13.18, 748040.00, 29.59
West Bengal, 30-11-2019, M, 6.61, 10768462.00, 43.44
West Bengal, 31-12-2019, M, 7.24, 11335696.00, 45.97
West Bengal, 31-01-2020, M, 7.27, 11208617.00, 45.39
West Bengal, 29-02-2020, M, 7.55, 10871168.00, 44.09
West Bengal, 31-03-2020, M, 6.67, 10806105.00, 43.34
West Bengal, 30-04-2020, M, 15.63, 9299466.00, 41.20
India, 30-11-2019, M, 8.88, 127178008.00, 40.34
India, 31-12-2019, M, 9.02, 128055184.00, 40.60
India, 31-01-2020, M, 9.70, 126959977.00, 40.46
India, 29-02-2020, M, 8.65, 128743813.00, 40.48
India, 31-03-2020, M, 9.41, 125503217.00, 39.70
India, 30-04-2020, M, 24.95, 85198095.00, 32.47
