Unemployment_Rate : Rural
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Madhya Pradesh, 30-11-2019, M, 2.72, 16306428.00, 39.44
Madhya Pradesh, 31-12-2019, M, 2.94, 16854647.00, 40.77
Madhya Pradesh, 31-01-2020, M, 3.66, 16183701.00, 39.35
Madhya Pradesh, 29-02-2020, M, 4.42, 16178043.00, 39.57
Madhya Pradesh, 31-03-2020, M, 1.19, 16480440.00, 38.90
Madhya Pradesh, 30-04-2020, M, 12.50, 14238958.00, 37.88
Maharashtra, 30-11-2019, M, 3.68, 24881383.00, 48.53
Maharashtra, 31-12-2019, M, 3.03, 26357625.00, 50.98
Maharashtra, 31-01-2020, M, 3.80, 25881398.00, 50.36
Maharashtra, 29-02-2020, M, 4.24, 25293534.00, 49.36
Maharashtra, 31-03-2020, M, 5.38, 23130976.00, 45.60
Maharashtra, 30-04-2020, M, 25.28, 15014802.00, 37.42
Meghalaya, 30-11-2019, M, 1.50, 1205703.00, 69.03
Meghalaya, 31-12-2019, M, 1.80, 1102997.00, 63.18
Meghalaya, 31-01-2020, M, 0.97, 1229406.00, 69.66
Meghalaya, 29-02-2020, M, 2.76, 1112863.00, 64.06
Meghalaya, 31-03-2020, M, 1.28, 1192615.00, 67.46
Meghalaya, 30-04-2020, M, 8.38, 803117.00, 48.83
Odisha, 30-11-2019, M, 4.72, 12192623.00, 44.06
Odisha, 31-12-2019, M, 4.67, 11345069.00, 40.91
Odisha, 31-01-2020, M, 1.81, 11182128.00, 39.09
Odisha, 29-02-2020, M, 3.31, 11842654.00, 41.98
Odisha, 31-03-2020, M, 15.09, 9814156.00, 39.55
Odisha, 30-04-2020, M, 24.48, 5562448.00, 25.16
Puducherry, 30-11-2019, M, 0.00, 142787.00, 35.00
Puducherry, 31-12-2019, M, 1.99, 180808.00, 45.07
Puducherry, 31-01-2020, M, 0.58, 176251.00, 43.18
Puducherry, 29-02-2020, M, 1.74, 183619.00, 45.38
Puducherry, 31-03-2020, M, 2.31, 142176.00, 35.23
Puducherry, 30-04-2020, M, 74.51, 49420.00, 46.79
Punjab, 30-11-2019, M, 7.07, 6395022.00, 45.55
Punjab, 31-12-2019, M, 6.13, 6164215.00, 43.40
Punjab, 31-01-2020, M, 9.69, 6189470.00, 45.22
Punjab, 29-02-2020, M, 10.41, 6009820.00, 44.19
Punjab, 31-03-2020, M, 10.51, 6373691.00, 46.85
Punjab, 30-04-2020, M, 3.69, 4721590.00, 32.20
Rajasthan, 30-11-2019, M, 10.47, 15278556.00, 40.87
Rajasthan, 31-12-2019, M, 13.96, 15485307.00, 43.00
Rajasthan, 31-01-2020, M, 8.00, 15484352.00, 40.12
Rajasthan, 29-02-2020, M, 14.48, 15040572.00, 41.83
Rajasthan, 31-03-2020, M, 9.47, 15059769.00, 39.47
Rajasthan, 30-04-2020, M, 12.25, 13051219.00, 35.21
Sikkim, 30-11-2019, M, 13.11, 162426.00, 53.04
Sikkim, 31-12-2019, M, 1.00, 161647.00, 46.30
Sikkim, 30-04-2020, M, 0.00, 133398.00, 37.72
Tamil Nadu, 30-11-2019, M, 2.46, 16223430.00, 50.95
Tamil Nadu, 31-12-2019, M, 3.73, 15356938.00, 48.80
Tamil Nadu, 31-01-2020, M, 1.18, 14954645.00, 46.23
Tamil Nadu, 29-02-2020, M, 1.17, 15828487.00, 48.86
Tamil Nadu, 31-03-2020, M, 6.36, 15848590.00, 51.56
Tamil Nadu, 30-04-2020, M, 53.19, 5086200.00, 33.05
Telangana, 30-11-2019, M, 6.47, 11265828.00, 65.17
Telangana, 31-12-2019, M, 1.35, 11068056.00, 60.61
Telangana, 31-01-2020, M, 5.02, 12065914.00, 68.51
Telangana, 29-02-2020, M, 9.02, 11304474.00, 66.92
Telangana, 31-03-2020, M, 5.63, 12028376.00, 68.53
Telangana, 30-04-2020, M, 4.51, 8793799.00, 49.44
Tripura, 30-11-2019, M, 25.25, 1084633.00, 64.29
Tripura, 31-12-2019, M, 26.53, 1046878.00, 63.02
Tripura, 31-01-2020, M, 31.91, 1057974.00, 68.61
Tripura, 29-02-2020, M, 26.22, 1169347.00, 69.88
Tripura, 31-03-2020, M, 31.61, 1060945.00, 68.28
Tripura, 30-04-2020, M, 43.64, 675083.00, 52.63
Uttar Pradesh, 30-11-2019, M, 6.94, 43261530.00, 38.01
Uttar Pradesh, 31-12-2019, M, 8.43, 44640087.00, 39.77
Uttar Pradesh, 31-01-2020, M, 6.06, 45777508.00, 39.67
Uttar Pradesh, 29-02-2020, M, 8.12, 44257432.00, 39.13
Uttar Pradesh, 31-03-2020, M, 9.37, 43086705.00, 38.53
Uttar Pradesh, 30-04-2020, M, 19.92, 39970677.00, 40.37
Uttarakhand, 30-11-2019, M, 5.56, 2007113.00, 36.73
Uttarakhand, 31-12-2019, M, 4.52, 1947566.00, 35.19
Uttarakhand, 31-01-2020, M, 4.17, 1986386.00, 35.69
Uttarakhand, 29-02-2020, M, 4.85, 2057523.00, 37.16
Uttarakhand, 30-04-2020, M, 3.66, 1972074.00, 35.04
West Bengal, 30-11-2019, M, 5.83, 25630359.00, 50.00
West Bengal, 31-12-2019, M, 5.79, 24906239.00, 48.47
West Bengal, 31-01-2020, M, 6.79, 24612171.00, 48.30
West Bengal, 29-02-2020, M, 3.78, 26093009.00, 49.51
West Bengal, 31-03-2020, M, 7.02, 25097811.00, 49.18
West Bengal, 30-04-2020, M, 18.32, 17639369.00, 39.27
India, 30-11-2019, M, 6.45, 275871909.00, 43.29
India, 31-12-2019, M, 6.93, 277592359.00, 43.70
India, 31-01-2020, M, 6.06, 283513935.00, 44.14
India, 29-02-2020, M, 7.34, 277210354.00, 43.67
India, 31-03-2020, M, 8.44, 270337538.00, 43.02
India, 30-04-2020, M, 22.89, 197005721.00, 37.15
